,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
263,2.2,22.11,17.09,2.09,-0.06,ma,9.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_9.pickle,24.0,30.0,93.56549076242227,64.7228871633051,49.74168662792068,30.607192051330955,2019-01-15 00:00:00
264,2.97,27.53,18.84,2.47,-0.1,ma,9.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_9.pickle,26.0,32.5,93.07674372580522,65.52413772784767,49.33283634765478,30.908666455158873,2019-01-15 00:00:00
265,3.37,29.94,20.35,2.38,-0.09,ma,9.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_9.pickle,28.0,35.0,93.41774820191714,66.60474922697502,49.39106072040207,31.3196119833179,2019-01-15 00:00:00
266,3.24,26.37,18.85,2.19,-0.1,ma,9.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_9.pickle,30.0,37.5,93.39019471773733,65.20503683508825,49.4902326222954,30.72357525820899,2019-01-15 00:00:00
267,3.13,20.63,18.85,2.22,-0.06,ma,9.0,70.0,105.0,2019-12-31 23:45:00,{},data/35_9.pickle,35.0,43.75,93.62521502808178,65.78022054991698,49.58005582330394,30.97609809714371,2019-01-15 00:00:00
268,3.51,21.02,15.79,2.21,-0.08,ma,9.0,80.0,120.0,2019-12-31 23:45:00,{},data/40_9.pickle,40.0,50.0,94.41627275684394,66.03568624849153,50.198566654703484,31.22094058528358,2019-01-15 00:00:00
269,4.08,21.63,15.53,2.54,-0.12,ma,9.0,90.0,135.0,2019-12-31 23:45:00,{},data/45_9.pickle,45.0,56.25,94.27971483840162,65.92102083778911,49.97649823007978,31.07131005593134,2019-01-15 00:00:00
270,4.37,20.36,17.1,2.33,-0.12,ma,9.0,100.0,150.0,2019-12-31 23:45:00,{},data/50_9.pickle,50.0,62.5,93.3221105354669,63.593672328290275,49.5575058882334,30.029970587011896,2019-01-15 00:00:00
271,5.73,25.72,15.74,2.93,-0.18,ma,9.0,110.0,165.0,2019-12-31 23:45:00,{},data/55_9.pickle,55.0,68.75,94.7438054742405,67.42102085562989,50.253297256034514,31.80617100820494,2019-01-15 00:00:00
272,5.59,22.06,16.91,2.72,-0.16,ma,9.0,120.0,180.0,2019-12-31 23:45:00,{},data/60_9.pickle,60.0,75.0,93.59272191514353,64.16265255022894,49.63367937981702,30.25478274981055,2019-01-15 00:00:00
273,5.7,21.14,14.82,2.62,-0.15,ma,9.0,130.0,195.0,2019-12-31 23:45:00,{},data/65_9.pickle,65.0,81.25,94.70868173081793,67.25919516612434,50.097957647088606,31.637486514738388,2019-01-15 00:00:00
274,6.28,21.57,14.99,2.77,-0.19,ma,9.0,140.0,210.0,2019-12-31 23:45:00,{},data/70_9.pickle,70.0,87.5,94.51545125952883,65.91858634604067,49.99345829622721,31.011260171439613,2019-01-15 00:00:00
275,6.37,20.32,14.16,2.73,-0.2,ma,9.0,150.0,225.0,2019-12-31 23:45:00,{},data/75_9.pickle,75.0,93.75,94.56846736450711,65.5643001453388,50.13682413783953,30.910014145852724,2019-01-15 00:00:00
276,6.62,19.7,13.98,2.8,-0.19,ma,9.0,160.0,240.0,2019-12-31 23:45:00,{},data/80_9.pickle,80.0,100.0,94.79632370868934,65.80212216657266,50.28824276123905,31.037131908605843,2019-01-15 00:00:00
277,6.91,19.09,14.09,2.81,-0.19,ma,9.0,170.0,255.0,2019-12-31 23:45:00,{},data/85_9.pickle,85.0,106.25,94.52714655436388,65.14006284516412,50.05693231960948,30.671125816591452,2019-01-15 00:00:00
278,8.01,21.12,14.17,3.15,-0.25,ma,9.0,180.0,270.0,2019-12-31 23:45:00,{},data/90_9.pickle,90.0,112.5,94.63007851715344,65.65114552650817,50.120235369137724,30.91924986818547,2019-01-15 00:00:00
279,7.87,19.59,13.68,2.99,-0.23,ma,9.0,190.0,285.0,2019-12-31 23:45:00,{},data/95_9.pickle,95.0,118.75,94.97142680280416,66.08825483211535,50.32947035925807,31.14336264639453,2019-01-15 00:00:00
